feature,coefficient
minutes_last_7d,0.7503370040013876
games_last_7d,-0.5060347257712811
days_since_last_injury,-0.3039012425585294
minutes_last_14d,-0.21008672861244013
rest_days,-0.10584205850491304
is_back_to_back,-0.0470626407894277
season_minutes_cumulative,-0.03722818076096193
age,0.024640503513886518
distance_last_7d,0.016523846372059
